Cupressaceae,Juniperus communis,En
Salicaceae,Salix,Viden delvis
Salicaceae,Salix myrsinites,Glansvide
Salicaceae,Salix glauca/lanata/lapponum,Rip/ull/lappvide
Myricaceae,Myrica gale,Pors
Betulaceae,Betula nana,Dvärgbjörk
Corylaceae,Corylus avellana,Hassel
Corylaceae,Berberis vulgaris,Berberis
Rosaceae,Ribes rubrum/spicatum/nigrum,Vinbär
Rosaceae,Ribes uva-crispa,Krusbär
Rosaceae,Ribes alpinum,Måbär
Rosaceae,Spiraea,Spirea (alla)
Rosaceae,Rubus idaeus,Hallon
Rosaceae,Rubus caesius,Blåhallon
Rosaceae,Rubus subg.,Björnbär (alla)
Rosaceae,Rosa rugosa,Vresros
Rosaceae,Rosa,Rosor övriga
Rosaceae,Potentilla fruticosa,Ölandstok
Rosaceae,Amelanchier,Häggmisplar (alla)
Rosaceae,Cotoneaster,Oxbär (alla)
Rosaceae,Crataegus,Hagtorn (alla)
Rosaceae,Prunus spinosa,Slån
Rhamnaceae,Frangula alnus,Brakved
Fabaceae,Cytisus scoparius,Harris
Celastraceae,Euonymus europaeus,Benved
Rhamnaceae,Rhamnus cathartica,Getapel 
Thymelaeaceae,Daphne mezereum,Tibast
Elaeagnaceae,Hippophaë rhamnoides,Havtorn
Cornaceae,Cornus sanguinea,Skogskornell
Cornaceae,Cornus alba ssp. stolonifera,Videkornell
Araliaceae,Hedera helix,Murgröna
Oleaceae,Ligustrum vulgare,Liguster
Oleaceae,Syringa vulgaris,Syren
Caprifoliaceae,Sambucus racemosa,Druvfläder
Caprifoliaceae,Sambucus nigra,Fläder
Caprifoliaceae,Viburnum opulus,Olvon
Caprifoliaceae,Symphoricarpos albus,Snöbär
Caprifoliaceae,Lonicera caprifolium,Kaprifol
Caprifoliaceae,Lonicera xylosteum,Skogstry
Caprifoliaceae,Lonicera caerulea,Blåtry
-,-,Övriga buskar
Cyperaceae,Blysmus compressus,plattsäv,
Cyperaceae,Blysmus rufus,rödsäv,
Cyperaceae,Carex arenaria,sandstarr,
Cyperaceae,Carex glareosa,klapperstarr,
Cyperaceae,Carex viridula var. pulchella,liten ärtstarr,
Cyperaceae,Schoenoplectus maritimus,havssäv,
Cyperaceae,Schoenoplectus tabernaemontani,blåsäv,
Juncaceae,Juncus arcticus ssp. balticus,östersjötåg,
Juncaceae,Juncus capitatus,huvudtåg,
Juncaceae,Juncus gerardii ,salttåg,
Juncaceae,Juncus maritimus,strandtåg,
Poaceae,Agrostis capillaris,rödven,
Poaceae,Agrostis stolonifera,krypven,
Poaceae,Aira caryophyllea,vittåtel,
Poaceae,Aira praecox,vårtåtel,
Poaceae,Ammophila arenaria,sandrör,
Poaceae,Calamagrostis epigejos,bergrör,
Poaceae,Calamagrostis neglecta,madrör,
Poaceae,Corynephorus canescens,borsttåtel,
Poaceae,Deschampsia bottnica,gultåtel,RT
Poaceae,Deschampsia flexuosa,kruståtel,
Poaceae,Elytrigia juncea ssp. boreoatlantica,strandkvickrot,
Poaceae,Elytrigia repens,kvickrot,
Poaceae,Festuca rubra,rödsvingel,
Poaceae,Leymus arenarius,strandråg,
Poaceae,Milium effusum,hässlebrodd,
Poaceae,Molinia caerulea,blåtåtel,
Poaceae,Parapholis strigosa,ormax,
Poaceae,Phalaris arundinacea,rörflen,
Poaceae,Phleum arenarium,sandtimotej,
Poaceae,Phragmites australis,vass,
Poaceae,Poa pratensis ssp. alpigena,nordgröe,
Poaceae,Puccinellia capillaris+distans,saltgräs+grått saltgräs,
Poaceae,Puccinellia maritima,revigt saltgräs,
Poaceae,Roegneria canina,lundelm,
Poaceae,Schedonorus arundinaceus,rörsvingel,
Cyanobakterier,Calothrix,såpor,T
Lavar,Anaptychia runcinata,brun franslav,
Lavar,Caloplaca delvis,orangelavar,
Lavar,Lasallia pustulata ,tuschlav,
Lavar,Physcia spp.,rosettlavar,
Lavar,Ramalina spp.,brosklavar,
Lavar,Rhizocarpon delvis,gulgröna kartlavar,
Lavar,Umbilicaria spp.,navellavar,
Lavar,Verrucaria maura,saltlav,T
Lavar,Xanthoria parietina,vägglav,
Ostron,Magallana gigas,stillahavsostron,
Mossor,Dicranum spp.,kvastmossor
Mossor,Pleurozium schreberi,väggmossa
Mossor,Racomitrium canescens+elongatum+ericoides,gulaktiga sandraggmossor
Mossor,Syntrichia ruraliformis,sandskruvmossa
Dennstaedtiaceae,Pteridium aquilinum,örnbräken,T
Polypodiaceae,Polypodium vulgare,stensöta,
Polypodiaceae,Ophioglossum vulgatum,ormtunga,
Amaranthaceae,Atriplex calotheca,flikmålla,
Amaranthaceae,Atriplex glabriuscula,broskmålla,
Amaranthaceae,Atriplex littoralis,strandmålla,
Amaranthaceae,Atriplex longipes ssp longpipes,skaftmålla,
Amaranthaceae,Atriplex longipes ssp. praecox,brådmålla,
Amaranthaceae,Atriplex prostrata,spjutmålla,
Amaranthaceae,Beta vulgaris,strandbeta,
Amaranthaceae,Salicornia europaea,glasört,r
Amaranthaceae,Salicornia stricta,styv glasört,r
Amaranthaceae,Salsola kali,sodaört,
Amaranthaceae,Suaeda maritima,saltört,
Apiaceae,Angelica archangelica ssp. litoralis,strandkvanne,r
Apiaceae,Angelica sylvestris,strätta,r
Apiaceae,Anthriscus sylvestris,hundkäx,
Apiaceae,Eryngium maritimum,martorn,r
Apiaceae,Hydrocotyle vulgaris,spikblad,
Apiaceae,Ligusticum scothicum,strandloka,r
Apiaceae,Peucedanum palustre,kärrsilja,
Apiaceae,Pimpinella saxifraga,bockrot,
Asteraceae,Achillea millefolium,röllika,
Asteraceae,Antennaria dioica,kattfot,
Asteraceae,Artemisia absinthium,malört,
Asteraceae,Artemisia campestris ssp. bottnica,bottnisk malört,
Asteraceae,Artemisia vulgaris var. coarctata,strandgråbo,
Asteraceae,Bidens tripartita,brunskära,
Asteraceae,Cotula coronopifolia,kotula,r
Asteraceae,Eupatorium cannabinum,hampflockel,
Asteraceae,Hieracium umbellatum,flockfibbla,
Asteraceae,Hypochoeris maculata,slåtterfibbla,r
Asteraceae,Matricaria discoidea,gatkamomill,
Asteraceae,Mulgedium tataricum,sandsallad,
Asteraceae,Petasites spurius,spjutskråp,
Asteraceae,Scorzoneroides autumnalis,höstfibbla,
Asteraceae,Senecio vernalis,vårkorsört,
Asteraceae,Senecio viscosus,klibbkorsört,
Asteraceae,Senecio vulgaris,korsört,
Asteraceae,Seriphidium maritimum ssp. humifusum,baltisk strandmalört,
Asteraceae,Seriphidium maritimum ssp. maritimum,vanlig strandmalört,
Asteraceae,Sonchus arvensis,åkermolke,r
Asteraceae,Sonchus palustris,strandmolke,r
Asteraceae,Tanacetum vulgare,renfana,t
Asteraceae,Taraxacum sect. palustria,strandmaskrosor,
Asteraceae,Tripleurospermum maritimum ssp. maritimum,kustbaldersbrå,
Asteraceae,Tripleurospermum maritimum ssp. subpolare,nordbaldersbrå,
Asteraceae,Tripolium vulgare,strandaster,r
Boraginaceae,Cynoglossum officinale,hundtunga,
Boraginaceae,Mertensia maritima,ostronört,
Brassicaceae,Cakile maritima,marviol,r
Brassicaceae,Cochlearia danica,dansk skörbjuggsört,
Brassicaceae,Cochlearia officinalis,skörbjuggsört,
Brassicaceae,Crambe maritima,strandkål,r
Brassicaceae,Isatis tinctoria,vejde,r
Caprifoliaceae,Valeriana,vänderrötter,
Caryophyllaceae,Cerastium diffusum,västkustarv,
Caryophyllaceae,Hippuris vulgaris,hästsvans,
Caryophyllaceae,Honckenya peploides,saltarv,
Caryophyllaceae,Lychnis flos-cuculi,gökblomster,
Caryophyllaceae,Sagina maritima,strandnarv,
Caryophyllaceae,Sagina nodosa,knutnarv,
Caryophyllaceae,Sagina procumbens,krypnarv,
Caryophyllaceae,Silene dioica,rödblära,
Caryophyllaceae,Silene uniflora,strandglim,t
Caryophyllaceae,Silene viscosa,klibbglim,
Caryophyllaceae,Spergularia media,havsnarv,
Caryophyllaceae,Spergularia salina,saltnarv,
Celastraceae,Calystegia spp,snårvindor,
Celastraceae,Parnassia palustris,slåtterblomma,
Convolvulaceae,Cornus suecica,hönsbär,
Crassulaceae,Hylotelephium telephium,kärleksört,
Crassulaceae,Rhodiola rosea,rosenrot,
Crassulaceae,Sedum acre,gul fetknopp,
Crassulaceae,Sedum anglicum,engelsk fetknopp,
Droseraceae,Drosera anglica,storsileshår,
Droseraceae,Drosera rotundifolia,rundsileshår,
Ericaceae,Pyrola chlorantha,grönpyrola,
Euphorbiaceae,Euphorbia palustris,kärrtörel,
Fabaceae,Lathyrus japonicus,strandvial,t
Fabaceae,Lathyrus niger,vippärt,
Fabaceae,Lathyrus palustris,kärrvial,
Fabaceae,Lathyrus pratensis,gulvial,
Fabaceae,Lotus corniculatus,käringtand,
Fabaceae,Lotus tenuis,smal kärringtand,
Fabaceae,Lupinus polyphyllus,blomsterlupin,r
Fabaceae,Tetragonolobus maritimus,klöverärt,
Fabaceae,Trifolium fragiferum,smultronköver,
Fabaceae,Vicia cracca,kråkvicker,
Fabaceae,Vicia sepium,häckvicker,
Gentianaceae,Centaurium littorale,kustarun,
Gentianaceae,Centaurium pulchellum,dvärgarun,
Gentianaceae,Gentianella uliginosa,sumpgentiana,
Juncaginaceae,Triglochin maritima,havssälting,
Juncaginaceae,Triglochin palustris,kärrsälting,
Lamiaceae,Galeopsis bifida,toppdån,
Lamiaceae,Lamium purpureum,rödplister,
Lamiaceae,Mentha aquatica,vattenmynta,
Lamiaceae,Scutellaria galericulata,frossört,
Lamiaceae,Scutellaria hastifolia,toppfrossört,
Lamiaceae,Stachys palustris,knölsyska,
Lamiaceae,Thymus serpyllum,backtimjan,
Linaceae,Radiola linoides,dvärglin,
Lythraceae,Lythrum salicaria,fackelblomster,
Orchidaceae,Epipactis palustris,kärrknipprot,
Orobanchaceae,Euphrasia bottnica,strandögontröst,
Orobanchaceae,Euphrasia frigida var. baltica,klapperögontröst,
Orobanchaceae,Odontites litoralis,strandrödtoppa,
Orobanchaceae,Rhinanthus minor,ängsskallra,
Orobanchaceae,Rhinanthus serotinus,höskallra,
Papaveraceae,Atriplex pedunculata,saltmålla,
Papaveraceae,Glaucium flavum,strandvallmo,rt
Plantaginaceae,Plantago coronopus,strandkämpar,
Plantaginaceae,Plantago major ssp. intermedia,åkergroblad,
Plantaginaceae,Plantago major ssp. major,gårdsgroblad,
Plantaginaceae,Plantago major ssp. winteri,kustgroblad,
Plantaginaceae,Plantago maritima,gulkämpar,
Plumbaginaceae,Armeria maritima,trift,
Plumbaginaceae,Limonium humile,bohusmarrisp,
Plumbaginaceae,Limonium vulgare,marrisp,
Polygonaceae,Persicaria lapathifolia,pilört,
Polygonaceae,Rumex acetosa,ängssyra,
Polygonaceae,Rumex acetosella,bergsyra,
Polygonaceae,Rumex crispus,krusskräppa,
Polygonaceae,Rumex longifolius,gårdsskräppa,
Polygonaceae,Rumex pseudonatronatus,finnskräppa,r
Primulaceae,Anagallis minima,knutört,
Primulaceae,Glaux maritima,strandkrypa,
Primulaceae,Lysimachia vulgaris,strandlysing,
Primulaceae,Primula nutans,strandviva,
Primulaceae,Samolus valerandi,bunge,
Ranunculaceae,Actaea spicata,trolldruva,
Ranunculaceae,Ranunculus acris,smörblomma,
Rosaceae,Argentina anserina ssp. anserina,vanlig gåsört,
Rosaceae,Argentina anserina ssp. groenlandica,grönländsk gåsört,
Rosaceae,Comarum palustre,kråkklöver,
Rosaceae,Filipendula ulmaria,älggräs,
Rosaceae,Rubus saxatilis,stenbär,
Scrophularicaceae,Linaria vulgaris,gulsporre,
Scrophularicaceae,Verbascum spp,kungsljus,
Scrophularicaceae,Veronica longifolia,strandveronika,
Solanaceae,Hyoscyamus niger,bolmört,
Solanaceae,Solanum dulcamara,besksöta,
Urticaceae,Urtica dioica,brännässla,
Urticaceae,Urtica urens,etternässla,
Violaceae,Viola tricolor,styvmorsviol,
Ericaceae,Arctostaphylos uva-ursi,mjölon
Ericaceae,Calluna vulgaris,ljung
Ericaceae,Chimaphila umbellata,ryl
Ericaceae,Empetrum nigrum subsp. hermaphroditum,nordkråkbär
Ericaceae,Empetrum nigrum subsp. nigrum,sydkråkbär
Ericaceae,Vaccinium myrtillus,blåbär
Ericaceae,Vaccinium vitis-idaea,lingon
Salicaceae,Salix repens,krypvide
Salicaceae,Salix repens ssp. repens var. argentea,sandvide
Aceraceae,Acer platanoides,Lönn,
Aceraceae,Acer pseudoplatanus,Tysklönn,
Betulaceae,Alnus glutinosa,Klibbal,
Betulaceae,Alnus incana,Gråal,
Betulaceae,Betula-,Björkar (ej dvärg-),
Corylaceae,Carpinus betulus,Avenbok,
Fagaceae,Fagus sylvatica,Bok,
Fagaceae,Quercus robur,Ekar,
Hippocastanaceae,Aesculus hippocastanum,Hästkastanj,
Oleaceae,Fraxinus excelsior,Ask,
Pinaceae,Larix decidua,Lärk,
Pinaceae,Picea abies,Gran,
Pinaceae,Pinus cembra,Cembratall,
Pinaceae,Pinus contorta,Contortatall,
Pinaceae,Pinus mugo,Bergtall,
Pinaceae,Pinus sylvestris,Tall,
Rosaceae,Malus sylvestris,Aplar,
Rosaceae,Prunus avium,Sötkörsbär,
Rosaceae,Prunus domestica,Plommon,
Rosaceae,Prunus padus,Hägg,
Rosaceae,Pyrus communis,Päron,
Rosaceae,Sorbus aucuparia,Rönn,
Rosaceae,Sorbus-,Oxlar,
Salicaceae,Populus pentandra,Jolster,
Salicaceae,Populus tremula,Asp,
Salicaceae,Populus-,Övriga popplar,
Saliceae,Salix caprea,Sälg (diam >20 mm),
Saliceae,Salix-,Pilar (diam >20 mm),
Taxaceae,Taxus baccata,Idegran,
Tiliaceae,Tilia,Lindar,
Ulmaceae,Ulmus-,Almar (alla),
-,-,Övriga barrträd,
-,-,Övriga lövträd,
