Aceraceae,Acer platanoides,Lönn,
Aceraceae,Acer pseudoplatanus,Tysklönn,
Betulaceae,Alnus glutinosa,Klibbal,
Betulaceae,Alnus incana,Gråal,
Betulaceae,Betula-,Björkar (ej dvärg-),
Corylaceae,Carpinus betulus,Avenbok,
Fagaceae,Fagus sylvatica,Bok,
Fagaceae,Quercus robur,Ekar,
Hippocastanaceae,Aesculus hippocastanum,Hästkastanj,
Oleaceae,Fraxinus excelsior,Ask,
Pinaceae,Larix decidua,Lärk,
Pinaceae,Picea abies,Gran,
Pinaceae,Pinus cembra,Cembratall,
Pinaceae,Pinus contorta,Contortatall,
Pinaceae,Pinus mugo,Bergtall,
Pinaceae,Pinus sylvestris,Tall,
Rosaceae,Malus sylvestris,Aplar,
Rosaceae,Prunus avium,Sötkörsbär,
Rosaceae,Prunus domestica,Plommon,
Rosaceae,Prunus padus,Hägg,
Rosaceae,Pyrus communis,Päron,
Rosaceae,Sorbus aucuparia,Rönn,
Rosaceae,Sorbus-,Oxlar,
Salicaceae,Populus pentandra,Jolster,
Salicaceae,Populus tremula,Asp,
Salicaceae,Populus-,Övriga popplar,
Saliceae,Salix caprea,Sälg (diam >20 mm),
Saliceae,Salix-,Pilar (diam >20 mm),
Taxaceae,Taxus baccata,Idegran,
Tiliaceae,Tilia,Lindar,
Ulmaceae,Ulmus-,Almar (alla),
-,-,Övriga barrträd,
-,-,Övriga lövträd,